,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,STEIN,BAYESIAN,LIKELIHOOD_STD,BW,N_MODELS,OPTIMIZER,LR,BATCH_SIZE,EARLY_STOPPING,STRIDE,WEIGHTING,MAKE_GIF,TITLE,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,EXTRA_STD,SHOW_DIAGNOSTICS,SHOW_PLOT,tuning_count,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,train_acc,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_coverage,METRIC_median_avg_inverval_score,METRIC_uncertainty_vs_accuracy_slope_quantile,METRIC_uncertainty_vs_accuracy_cor_quantile,METRIC_extrapolation_uncertainty_vs_proximity_slope_quantile,METRIC_uncertainty_vs_proximity_cor_quantile,METRIC_interpolation_uncertainty_vs_proximity_slope_quantile,METRIC_extrapolation_uncertainty_spread_quantile,METRIC_interpolation_uncertainty_spread_quantile,filename,STATE_DICT_PATH
0,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,False,True,0.1,,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,1,20000.0,14099,20000,1307.0317351818085,,,,-41616384.0,0.1937282681465149,0.1918775886297226,0.1589813381433487,0.15727634727954865,0.5261392593383789,0.5163482427597046,0.07699146866798401,0.7333333492279053,0.37087205052375793,0.0846353217697692,0.21877106707054314,-0.004984186281399253,-0.010274866602255555,-0.0023066800362686645,0.13710029423236847,0.18219758570194244,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-16_22-58-27 (1).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-16_22-58-27 (1).pth
1,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,False,True,0.1,,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,1,30000.0,14099,30000,1963.5191950798035,,,,-41616384.0,0.1849679797887802,0.18913781642913818,0.15404675900936127,0.15977928042411804,0.5079969167709351,0.5163334012031555,0.08480645716190338,0.7333333492279053,0.3575429320335388,0.0023550359884188916,0.005174522451738232,0.0075156518432625274,-0.00340845871999132,-0.0007180225790198326,0.13899202644824982,0.12913663685321808,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-16_22-58-27 (2).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-16_22-58-27 (2).pth
2,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,False,True,0.1,,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,1,10000.0,9049,10000,651.2271752357483,,,,-41616384.0,0.190364807844162,0.18978574872016907,0.15918125212192535,0.1575496941804886,0.4838877022266388,0.4923902451992035,0.08152548968791962,0.7000000476837158,0.3623591363430023,-0.02971158139819285,-0.06646203236537615,-0.011524431353941478,0.04744483411792685,0.010032829349315675,0.13955959677696228,0.1427506059408188,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-16_22-58-27.json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-16_22-58-27.pth
3,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.01,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,2,20000.0,19999,20000,927.142425775528,,,,-2640215.033333333,0.019286267459392548,0.019517624750733376,0.014377268962562084,0.014566193334758282,0.05783700942993164,0.057472169399261475,0.006722662597894669,0.6666666865348816,0.037867531180381775,-0.024344055070833148,-0.0076999215665829015,0.02851947679379535,0.23418220681411414,0.0057696756679022215,0.03424865007400513,0.019211307168006897,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-16_23-31-15 (1).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-16_23-31-15 (1).pth
4,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.01,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,2,30000.0,29999,30000,1834.9375576972961,,,,-2707696.316666667,0.019523467868566513,0.019765906035900116,0.014171314425766468,0.014210742898285389,0.058987826108932495,0.058766722679138184,0.006836884655058384,0.7000000476837158,0.03572935611009598,-0.49315487703765193,-0.1382437167737138,0.028774248879127946,0.0633803117646754,0.001374928185982598,0.038258910179138184,0.01320299506187439,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-16_23-31-15 (2).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-16_23-31-15 (2).pth
5,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.01,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,2,10000.0,9999,10000,440.5620436668396,,,,-2545061.8833333333,0.01991533301770687,0.019963687285780907,0.014986632391810417,0.015065129846334457,0.05627277493476868,0.0563446581363678,0.00772318709641695,0.6666666865348816,0.03937944769859314,0.26660685183610516,0.07200209166658048,0.055504370088923685,0.2787833323546463,0.006311102469401377,0.05662626028060913,0.016086548566818237,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-16_23-31-15.json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-16_23-31-15.pth
6,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.001,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,3,20000.0,19999,20000,748.2611329555511,,,,-2383029.2,0.018529638648033142,0.01852148026227951,0.01384488120675087,0.013849287293851376,0.04891878366470337,0.048980116844177246,0.009105882607400417,0.1666666716337204,0.019789163023233414,0.25583614649379266,0.15725648095607359,0.10773609918408837,0.973483797645016,0.04105769961430647,0.059122055768966675,0.01812654361128807,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-01-56 (1).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-01-56 (1).pth
7,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.001,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,3,30000.0,29999,30000,1059.4685637950897,,,,-2452534.55,0.01867733709514141,0.01862923800945282,0.013958721421658993,0.013905243948101997,0.048373907804489136,0.04859134554862976,0.00875901896506548,0.1666666716337204,0.01977725699543953,0.18989731489794484,0.12149782058750384,0.12273072027595738,0.9818654570216719,0.05559815639491721,0.06922906637191772,0.022944912314414978,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-01-56 (2).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-01-56 (2).pth
8,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.001,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,3,10000.0,9999,10000,442.7091021537781,,,,-2275374.3666666667,0.018487723544239998,0.018512634560465813,0.013788573443889618,0.013824117369949818,0.04945012927055359,0.049579501152038574,0.009517555125057697,0.1666666716337204,0.021339820697903633,0.10944195882437079,0.12909299430455135,0.10211354135910841,0.920914676696754,0.04076543232277455,0.05933848023414612,0.01794326864182949,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-01-56.json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-01-56.pth
9,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.0001,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,4,20000.0,13499,20000,614.7315046787262,,,,13191532.933333334,0.018471620976924896,0.018555616959929466,0.013772768899798393,0.013836001977324486,0.048651933670043945,0.048928141593933105,0.008756148628890514,0.13333334028720856,0.020633142441511154,0.15397393960127373,0.04879905711058951,0.19296138690281112,0.9016007289636002,0.05035704534382253,0.11173245310783386,0.02285662665963173,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-19-43 (1).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-19-43 (1).pth
10,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.0001,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,4,24999.0,13499,24998,767.8598525524139,25.0,0.05,15.0,12699042.066666666,0.01883217692375183,0.018784845247864723,0.014125339686870575,0.014112255536019802,0.048775166273117065,0.049049198627471924,0.008378186263144016,0.10000000894069672,0.020250272005796432,0.30558177415677623,0.10271204089675037,0.25854320989287854,0.9384932275735042,0.05137200028873306,0.16957443952560425,0.02311144769191742,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-19-43 (2).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-19-43 (2).pth
11,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.0001,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,4,27499.0,13499,27498,847.321836233139,75.0,0.05,15.0,12510720.533333333,0.019008135423064232,0.01889544352889061,0.0142538296058774,0.014235952869057655,0.04934850335121155,0.049263447523117065,0.007873286493122578,0.10000000894069672,0.02109062671661377,0.2846313657653194,0.11569271268193781,0.2773713061590089,0.9513620697789811,0.05537711649440808,0.2032029628753662,0.023886021226644516,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-19-43 (3).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-19-43 (3).pth
12,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.0001,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,4,30000.0,13499,30000,921.8487319946289,,,,12348726.8,0.019052552059292793,0.01897680200636387,0.014297948218882084,0.014325982891023159,0.04947575926780701,0.04940110445022583,0.007525463122874498,0.10000000894069672,0.021943513303995132,0.03840819925837698,0.015110736195400189,0.3149093392446671,0.9609355058739039,0.05602476571885249,0.24079033732414246,0.02357027679681778,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-19-43 (4).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-19-43 (4).pth
13,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,False,True,0.0001,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,4,10000.0,9999,10000,304.39001393318176,,,,14798523.866666667,0.018378688022494316,0.018432775512337685,0.013659530319273472,0.013718935661017895,0.04919347167015076,0.049246519804000854,0.009734593331813812,0.13333334028720856,0.021052349358797073,0.059047014489382106,0.05993761366699124,0.09454282541049532,0.9331713283517407,0.05692902753339457,0.059837162494659424,0.021050460636615753,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-19-43.json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-19-43.pth
14,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,False,True,0.1,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,5,20000.0,19999,20000,587.8866503238678,,,,-12050.523307291667,0.05728546157479286,0.059325650334358215,0.04093822091817856,0.04249439015984535,0.20925045013427734,0.2023419439792633,0.02737235277891159,0.9666666984558105,0.3389202356338501,0.28924884153759645,0.09665126394965895,0.016803131440476078,0.021370762288079062,0.00474672139794928,0.12134817242622375,0.18279364705085754,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-35-18 (1).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-35-18 (1).pth
15,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,False,True,0.1,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,5,30000.0,29999,30000,888.7166378498077,,,,-13025.656315104166,0.058255624026060104,0.05805899202823639,0.037397537380456924,0.03801831603050232,0.2044762372970581,0.20856833457946777,0.02649034559726715,0.9666666984558105,0.3540010154247284,-0.4263636355291503,-0.14934166729969042,0.03548571047737684,-0.01623391753854723,-0.0036541095071100536,0.14744198322296143,0.13894830644130707,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-35-18 (2).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-35-18 (2).pth
16,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,False,True,0.1,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,5,10000.0,9999,10000,299.8340618610382,,,,-10290.680729166666,0.060679301619529724,0.06061400845646858,0.04470209404826164,0.04320574924349785,0.17761501669883728,0.18617059290409088,0.026548851281404495,0.9666666984558105,0.34958767890930176,0.37903834831847627,0.11432218498439983,0.008453965627492515,0.041566164037493435,0.00907106336688303,0.14343595504760742,0.13720746338367462,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-35-18.json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-35-18.pth
17,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,False,True,0.01,,30,Adam,1e-05,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,6,20000.0,19999,20000,599.2281758785248,,,,-11610.100716145833,0.019600531086325645,0.02003994770348072,0.014240100979804993,0.014686171896755695,0.06281706690788269,0.06188082695007324,0.006087884772568941,0.6333333849906921,0.03858479484915733,0.07164659523483344,0.026514322525005005,0.16025581021982524,0.7747192243252714,0.04028413953751434,0.11590823531150818,0.03185313567519188,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\2025-05-17_00-50-10 (1).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\mode\hyperparameter_search\experimental_models\2025-05-17_00-50-10 (1).pth
